2025-11-11 13:23:50, MOVE, v:1, k:poo@array, mode:DOWN
2025-11-11 13:23:51, MOVE, v:1, k:poo@budega, mode:DOWN
2025-11-11 13:23:53, MOVE, v:1, k:poo@lapiseira, mode:DOWN
2025-11-11 13:23:54, MOVE, v:1, k:poo@pula-pula, mode:DOWN
2025-11-11 13:23:57, MOVE, v:1, k:poo@cinema, mode:DOWN
2025-11-11 13:24:00, MOVE, v:1, k:poo@tabuleiro, mode:DOWN
2025-11-11 13:24:38, MOVE, v:1, k:poo@array, mode:PICK
2025-11-11 13:24:39, MOVE, v:1, k:poo@array, mode:BACK
2025-11-11 13:24:43, MOVE, v:1, k:poo@junkfood, mode:DOWN
2025-11-11 13:24:46, MOVE, v:1, k:poo@tabuleiro, mode:PICK
2025-11-11 13:24:46, MOVE, v:1, k:poo@tabuleiro, mode:BACK
